decision_id,category,recommended_action,path_count,paths,risk,evidence_file,default_if_approved,user_decision,decision_status,user_note
P1-REMOVE-B8-EXAMPLE,remove-from-clean,approve archive-only exclusion for low-risk example bm1-bm3 files,3,"example/bm1.py, example/bm2.py, example/bm3.py",low,cleanup/remove-from-clean-candidates.csv,Phase 2 removes these from clean branch only; recovery remains via archive ref,not-approved,NOT_APPROVED_BY_USER,User rejected low-risk cleanup classification; do not execute.
P1-REMOVE-B14-RUN,remove-from-clean,approve archive-only exclusion for low-risk legacy run/*.sh wrappers,6,"run/1/all.sh, run/1/scan_core.sh, run/2/all2.sh, run/aba_scalability_scan copy.sh, run/abla_chain_sharing.sh, run/temp.sh",low,cleanup/remove-from-clean-candidates.csv,Phase 2 removes these from clean branch only; recovery remains via archive ref,not-approved,NOT_APPROVED_BY_USER,User rejected low-risk cleanup classification; do not execute.
P1-REMOVE-B19-TESTS,remove-from-clean,approve archive-only exclusion for low-risk stale tests outside current entrypoint contract,6,"scripts/test_alloc_lat.py, test_closure_fix.py, test_duplicate.py, test_event_update.py, test_mapping.py, test_updated_stats.py",low,cleanup/remove-from-clean-candidates.csv,Phase 2 removes these from clean branch only; recovery remains via archive ref,not-approved,NOT_APPROVED_BY_USER,User says these include converged unit tests; keep them.
P1-REMOVE-B3-ANALYZE,remove-from-clean,approve archive-only exclusion for low-risk unreachable analysis helper,1,analyze/xlsl_e2e_lat_abla.py,low,cleanup/remove-from-clean-candidates.csv,Phase 2 removes these from clean branch only; recovery remains via archive ref,not-approved,NOT_APPROVED_BY_USER,User rejected low-risk cleanup classification; do not execute.
P1-REMOVE-B13-ROOT,remove-from-clean,approve archive-only exclusion for low-risk root one-off debug helper,1,debug_sink_constraint.py,low,cleanup/remove-from-clean-candidates.csv,Phase 2 removes these from clean branch only; recovery remains via archive ref,not-approved,NOT_APPROVED_BY_USER,User rejected low-risk cleanup classification; do not execute.
P1-REMOVE-B11-OPTIMIZER,remove-from-clean,approve archive-only exclusion for low-risk optimizer test helper,1,optimizer/ops_test.py,low,cleanup/remove-from-clean-candidates.csv,Phase 2 removes these from clean branch only; recovery remains via archive ref,not-approved,NOT_APPROVED_BY_USER,User rejected low-risk cleanup classification; do not execute.
P1-REMOVE-B15-SCHED,remove-from-clean,approve archive-only exclusion for low-risk unused solver fitting helper,1,sched/packing_solver/fit.py,low,cleanup/remove-from-clean-candidates.csv,Phase 2 removes these from clean branch only; recovery remains via archive ref,not-approved,NOT_APPROVED_BY_USER,User rejected low-risk cleanup classification; do not execute.
P1-REVIEW-DOCS-001,review,"decide doc policy: keep authoritative doc/spec + doc/guide, archive dev logs and obsolete assistant notes",56,".claude/skills/spec-writer/SKILL.md, claude_talk/auto-abla.md, claude_talk/explore.md, doc/ABLA_EXP_FIX_PLAN.md, doc/analytical_report/motiv_exp_implementation_check.md, doc/analytical_report/parameter_flow_exec_t_comp_ratio.md, doc/analytical_report/parameter_mapping_correction.md, doc/analytical_report/resource_constraint_dump_coupling.md, doc/assumptions.md, doc/dev/ablation_dev.md, doc/dev/change_log_2025.md, doc/dev/claude_revise.md, ... (+44)",medium,cleanup/review-candidates.csv,Phase 2 splits docs into KEEP vs archive-only batches,keep-review,KEEP_REVIEW,Keep under review; no cleanup execution.
P1-REVIEW-RUNTIME-001,review,keep high-risk runtime-adjacent files under REVIEW until experiment-level or targeted tests pass,28,"analyze/UE_extract.py, analyze/__init__.py, analyze/analyze_ctx_switch.py, analyze/analyze_timing.py, analyze/analyze_tp.py, analyze/pattern.py, analyze/stat_num_exec.py, analyze/xlsl_e2e_latency.py, analyze/xlsl_max_tp.py, analyze/xlsl_min_core.py, analyze/xlsl_safe_scalable.py, model/__init__.py, model/streaming_processing/__init__.py, optimizer/Figure_1.png, ... (+14)",high,"cleanup/review-candidates.csv, cleanup/reports/dynamic-risk-signals.csv",no deletion in Phase 2 without targeted tests or owner approval,keep-review,KEEP_REVIEW,Keep under review; no cleanup execution.
P1-SYMBOL-001,symbols,keep all function/class candidates record-only; do not delete symbols in Phase 2 unless a later file batch and tests approve it,1179,symbol records across Python files,high,cleanup/symbol-candidates.csv,symbol-candidates.csv remains advisory only,approve,APPROVED,Approved by user on 2026-06-12.
