decision_id,path,kind,reason,risk,evidence,owner,question,recommended_decision,batch_id,status
P1-REVIEW-063,analyze/analyze_tp.py,python,unreachable by AST graph but has risk/ref signals: risks=none refs=2,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=2,worker-analyze,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B3-ANALYZE,REVIEW
P1-REVIEW-064,analyze/pattern.py,python,unreachable by AST graph but has risk/ref signals: risks=none refs=20,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=20,worker-analyze,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B3-ANALYZE,REVIEW
P1-REVIEW-065,analyze/stat_num_exec.py,python,unreachable by AST graph but has risk/ref signals: risks=none refs=6,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=6,worker-analyze,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B3-ANALYZE,REVIEW
P1-REVIEW-066,analyze/xlsl_e2e_latency.py,python,unreachable by AST graph but has risk/ref signals: risks=none refs=1,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=1,worker-analyze,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B3-ANALYZE,REVIEW
P1-REVIEW-067,analyze/xlsl_max_tp.py,python,unreachable by AST graph but has risk/ref signals: risks=none refs=1,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=1,worker-analyze,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B3-ANALYZE,REVIEW
P1-REVIEW-068,analyze/xlsl_min_core.py,python,unreachable by AST graph but has risk/ref signals: risks=none refs=1,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=1,worker-analyze,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B3-ANALYZE,REVIEW
P1-REVIEW-069,analyze/xlsl_safe_scalable.py,python,unreachable by AST graph but has risk/ref signals: risks=none refs=1,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=1,worker-analyze,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B3-ANALYZE,REVIEW
P1-REVIEW-070,appoach_plot6.py,python,unreachable by AST graph but has risk/ref signals: risks=shell-call refs=0,shell-call,unreachable by AST graph but has risk/ref signals: risks=shell-call refs=0,worker-root,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B13-ROOT,REVIEW
P1-REVIEW-071,approach_util33.py,python,"unreachable by AST graph but has risk/ref signals: risks=generated-code,shell-call refs=1",generated-code;shell-call,"unreachable by AST graph but has risk/ref signals: risks=generated-code,shell-call refs=1",worker-root,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B13-ROOT,REVIEW
P1-REVIEW-075,claude_talk/auto-abla.md,docs,unreachable by AST graph but has risk/ref signals: risks=none refs=1,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=1,worker-docs,Keep; do not delete?,KEEP; user marked conversation history important,B7-DOCS,REVIEW
P1-REVIEW-076,claude_talk/explore.md,docs,unreachable by AST graph but has risk/ref signals: risks=none refs=1,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=1,worker-docs,Keep; do not delete?,KEEP; user marked conversation history important,B7-DOCS,REVIEW
P1-REVIEW-077,csv/coalescing_scan/n_bins_1/coalescing_req_cores.csv,other,unreachable by AST graph but has risk/ref signals: risks=none refs=1,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=1,worker-csv,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B5-CSV,REVIEW
P1-REVIEW-078,debug_case1/case1/case1_motiv1_style.pdf,other,unreachable by AST graph but has risk/ref signals: risks=none refs=6,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=6,worker-debug-case1,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B6-DEBUG-CASE1,REVIEW
P1-REVIEW-079,debug_case1/case1/case1_satisfy_projection.pdf,other,unreachable by AST graph but has risk/ref signals: risks=none refs=4,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=4,worker-debug-case1,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B6-DEBUG-CASE1,REVIEW
P1-REVIEW-080,debug_case1/case1/case1_summary.json,config,unreachable by AST graph but has risk/ref signals: risks=none refs=10,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=10,worker-debug-case1,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B6-DEBUG-CASE1,REVIEW
P1-REVIEW-081,doc/ABLA_EXP_FIX_PLAN.md,docs,unreachable by AST graph but has risk/ref signals: risks=none refs=1,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=1,worker-docs,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B7-DOCS,REVIEW
P1-REVIEW-082,doc/analytical_report/motiv_exp_implementation_check.md,docs,unreachable by AST graph but has risk/ref signals: risks=none refs=1,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=1,worker-docs,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B7-DOCS,REVIEW
P1-REVIEW-083,doc/analytical_report/parameter_flow_exec_t_comp_ratio.md,docs,unreachable by AST graph but has risk/ref signals: risks=none refs=3,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=3,worker-docs,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B7-DOCS,REVIEW
P1-REVIEW-084,doc/analytical_report/parameter_mapping_correction.md,docs,unreachable by AST graph but has risk/ref signals: risks=none refs=1,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=1,worker-docs,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B7-DOCS,REVIEW
P1-REVIEW-085,doc/analytical_report/resource_constraint_dump_coupling.md,docs,unreachable by AST graph but has risk/ref signals: risks=none refs=1,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=1,worker-docs,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B7-DOCS,REVIEW
P1-REVIEW-086,doc/assumptions.md,docs,unreachable by AST graph but has risk/ref signals: risks=none refs=1,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=1,worker-docs,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B7-DOCS,REVIEW
P1-REVIEW-087,doc/dev/ablation_dev.md,docs,unreachable by AST graph but has risk/ref signals: risks=none refs=1,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=1,worker-docs,Keep and update when related code changes?,KEEP; user marked this documentation area important; update as code changes,B7-DOCS,REVIEW
P1-REVIEW-088,doc/dev/change_log_2025.md,docs,unreachable by AST graph but has risk/ref signals: risks=none refs=1,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=1,worker-docs,Keep and update when related code changes?,KEEP; user marked this documentation area important; update as code changes,B7-DOCS,REVIEW
P1-REVIEW-089,doc/dev/claude_revise.md,docs,unreachable by AST graph but has risk/ref signals: risks=none refs=3,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=3,worker-docs,Keep and update when related code changes?,KEEP; user marked this documentation area important; update as code changes,B7-DOCS,REVIEW
P1-REVIEW-090,doc/dev/code_cleanup_2026.md,docs,unreachable by AST graph but has risk/ref signals: risks=none refs=1,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=1,worker-docs,Keep and update when related code changes?,KEEP; user marked this documentation area important; update as code changes,B7-DOCS,REVIEW
P1-REVIEW-091,doc/guide/README.md,shared-config,shared/protected config; leader-owned,protected-shared-file,shared/protected config; leader-owned,team-leader,Keep and update when related code changes?,KEEP; user marked this documentation area important; update as code changes,B0-SHARED,REVIEW
P1-REVIEW-092,doc/guide/architecture_overview.md,docs,unreachable by AST graph but has risk/ref signals: risks=none refs=3,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=3,worker-docs,Keep and update when related code changes?,KEEP; user marked this documentation area important; update as code changes,B7-DOCS,REVIEW
P1-REVIEW-093,doc/guide/collector_overview.md,docs,unreachable by AST graph but has risk/ref signals: risks=none refs=3,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=3,worker-docs,Keep and update when related code changes?,KEEP; user marked this documentation area important; update as code changes,B7-DOCS,REVIEW
P1-REVIEW-094,doc/guide/deprecated_code.md,docs,unreachable by AST graph but has risk/ref signals: risks=none refs=4,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=4,worker-docs,Keep and update when related code changes?,KEEP; user marked this documentation area important; update as code changes,B7-DOCS,REVIEW
P1-REVIEW-095,doc/guide/exp_scripts_overview.md,docs,unreachable by AST graph but has risk/ref signals: risks=none refs=3,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=3,worker-docs,Keep and update when related code changes?,KEEP; user marked this documentation area important; update as code changes,B7-DOCS,REVIEW
P1-REVIEW-096,doc/guide/sched_core_overview.md,docs,unreachable by AST graph but has risk/ref signals: risks=none refs=3,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=3,worker-docs,Keep and update when related code changes?,KEEP; user marked this documentation area important; update as code changes,B7-DOCS,REVIEW
P1-REVIEW-097,doc/guide/simulation_flow_overview.md,docs,unreachable by AST graph but has risk/ref signals: risks=none refs=3,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=3,worker-docs,Keep and update when related code changes?,KEEP; user marked this documentation area important; update as code changes,B7-DOCS,REVIEW
P1-REVIEW-098,doc/guide/task_model_overview.md,docs,unreachable by AST graph but has risk/ref signals: risks=none refs=3,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=3,worker-docs,Keep and update when related code changes?,KEEP; user marked this documentation area important; update as code changes,B7-DOCS,REVIEW
P1-REVIEW-099,doc/imgs/L-shape-space.png,docs,unreachable by AST graph but has risk/ref signals: risks=none refs=1,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=1,worker-docs,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B7-DOCS,REVIEW
P1-REVIEW-100,doc/imgs/multi-copies_run.png,docs,unreachable by AST graph but has risk/ref signals: risks=none refs=1,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=1,worker-docs,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B7-DOCS,REVIEW
P1-REVIEW-101,doc/imgs/trigger_issue.png,docs,unreachable by AST graph but has risk/ref signals: risks=none refs=1,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=1,worker-docs,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B7-DOCS,REVIEW
P1-REVIEW-102,doc/setting.md,docs,unreachable by AST graph but has risk/ref signals: risks=none refs=13,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=13,worker-docs,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B7-DOCS,REVIEW
P1-REVIEW-103,doc/sim_flow.md,docs,unreachable by AST graph but has risk/ref signals: risks=none refs=13,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=13,worker-docs,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B7-DOCS,REVIEW
P1-REVIEW-104,doc/sparse_list.md,docs,unreachable by AST graph but has risk/ref signals: risks=none refs=11,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=11,worker-docs,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B7-DOCS,REVIEW
P1-REVIEW-105,doc/spec/abla1_describe.md,docs,unreachable by AST graph but has risk/ref signals: risks=none refs=1,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=1,worker-docs,Keep and update when related code changes?,KEEP; user marked this documentation area important; update as code changes,B7-DOCS,REVIEW
P1-REVIEW-106,doc/spec/abla2-3_describe.md,docs,unreachable by AST graph but has risk/ref signals: risks=none refs=1,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=1,worker-docs,Keep and update when related code changes?,KEEP; user marked this documentation area important; update as code changes,B7-DOCS,REVIEW
P1-REVIEW-107,doc/spec/algorithm/binpack_solver_spec.md,docs,unreachable by AST graph but has risk/ref signals: risks=none refs=3,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=3,worker-docs,Keep and update when related code changes?,KEEP; user marked this documentation area important; update as code changes,B7-DOCS,REVIEW
P1-REVIEW-108,doc/spec/algorithm/chain_slack_assignment_algorithm.md,docs,unreachable by AST graph but has risk/ref signals: risks=none refs=7,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=7,worker-docs,Keep and update when related code changes?,KEEP; user marked this documentation area important; update as code changes,B7-DOCS,REVIEW
P1-REVIEW-109,doc/spec/algorithm/guided_hybrid_allocation_algorithm.md,docs,unreachable by AST graph but has risk/ref signals: risks=none refs=6,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=6,worker-docs,Keep and update when related code changes?,KEEP; user marked this documentation area important; update as code changes,B7-DOCS,REVIEW
P1-REVIEW-110,doc/spec/cfg/binpack_config_design.md,docs,unreachable by AST graph but has risk/ref signals: risks=none refs=6,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=6,worker-docs,Keep and update when related code changes?,KEEP; user marked this documentation area important; update as code changes,B7-DOCS,REVIEW
P1-REVIEW-111,doc/spec/e2e_sched_sim_flow.md,docs,unreachable by AST graph but has risk/ref signals: risks=none refs=13,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=13,worker-docs,Keep and update when related code changes?,KEEP; user marked this documentation area important; update as code changes,B7-DOCS,REVIEW
P1-REVIEW-112,doc/spec/exp_design/motiv_case_api_README.md,docs,unreachable by AST graph but has risk/ref signals: risks=none refs=2,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=2,worker-docs,Keep and update when related code changes?,KEEP; user marked this documentation area important; update as code changes,B7-DOCS,REVIEW
P1-REVIEW-113,doc/spec/exp_design/motiv_case_api_usage.md,docs,unreachable by AST graph but has risk/ref signals: risks=none refs=4,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=4,worker-docs,Keep and update when related code changes?,KEEP; user marked this documentation area important; update as code changes,B7-DOCS,REVIEW
P1-REVIEW-114,doc/spec/exp_design/motiv_case_plotting_examples.md,docs,unreachable by AST graph but has risk/ref signals: risks=none refs=2,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=2,worker-docs,Keep and update when related code changes?,KEEP; user marked this documentation area important; update as code changes,B7-DOCS,REVIEW
P1-REVIEW-115,doc/spec/key_COT.md,docs,unreachable by AST graph but has risk/ref signals: risks=none refs=14,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=14,worker-docs,Keep and update when related code changes?,KEEP; user marked this documentation area important; update as code changes,B7-DOCS,REVIEW
P1-REVIEW-116,doc/spec/model/latency_model.md,docs,unreachable by AST graph but has risk/ref signals: risks=none refs=2,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=2,worker-docs,Keep and update when related code changes?,KEEP; user marked this documentation area important; update as code changes,B7-DOCS,REVIEW
P1-REVIEW-117,doc/spec/motiv1_describe.md,docs,unreachable by AST graph but has risk/ref signals: risks=none refs=1,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=1,worker-docs,Keep and update when related code changes?,KEEP; user marked this documentation area important; update as code changes,B7-DOCS,REVIEW
P1-REVIEW-118,doc/spec/motiv2_describe.md,docs,unreachable by AST graph but has risk/ref signals: risks=none refs=1,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=1,worker-docs,Keep and update when related code changes?,KEEP; user marked this documentation area important; update as code changes,B7-DOCS,REVIEW
P1-REVIEW-119,doc/spec/readme.md,docs,unreachable by AST graph but has risk/ref signals: risks=none refs=5,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=5,worker-docs,Keep and update when related code changes?,KEEP; user marked this documentation area important; update as code changes,B7-DOCS,REVIEW
P1-REVIEW-120,doc/spec/sim/approach_sim_spec.md,docs,unreachable by AST graph but has risk/ref signals: risks=none refs=4,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=4,worker-docs,Keep and update when related code changes?,KEEP; user marked this documentation area important; update as code changes,B7-DOCS,REVIEW
P1-REVIEW-121,doc/spec/sim/simulation_numerical_design.md,docs,unreachable by AST graph but has risk/ref signals: risks=none refs=3,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=3,worker-docs,Keep and update when related code changes?,KEEP; user marked this documentation area important; update as code changes,B7-DOCS,REVIEW
P1-REVIEW-122,doc/spec/stat/collector.md,docs,unreachable by AST graph but has risk/ref signals: risks=none refs=46,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=46,worker-docs,Keep and update when related code changes?,KEEP; user marked this documentation area important; update as code changes,B7-DOCS,REVIEW
P1-REVIEW-123,doc/spec/stat/runtime_overhead_spec.md,docs,unreachable by AST graph but has risk/ref signals: risks=none refs=3,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=3,worker-docs,Keep and update when related code changes?,KEEP; user marked this documentation area important; update as code changes,B7-DOCS,REVIEW
P1-REVIEW-124,doc/spec/stat/statistics_collection_spec.md,docs,unreachable by AST graph but has risk/ref signals: risks=none refs=6,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=6,worker-docs,Keep and update when related code changes?,KEEP; user marked this documentation area important; update as code changes,B7-DOCS,REVIEW
P1-REVIEW-125,doc/spec/stat/tdigest_system_spec.md,docs,unreachable by AST graph but has risk/ref signals: risks=none refs=5,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=5,worker-docs,Keep and update when related code changes?,KEEP; user marked this documentation area important; update as code changes,B7-DOCS,REVIEW
P1-REVIEW-126,doc/spec/test_plan.md,test,unreachable by AST graph but has risk/ref signals: risks=none refs=15,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=15,worker-docs,Keep and update when related code changes?,KEEP; user marked this documentation area important; update as code changes,B7-DOCS,REVIEW
P1-REVIEW-127,doc/verification/bin_insert_demo.csv,docs,unreachable by AST graph but has risk/ref signals: risks=none refs=1,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=1,worker-docs,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B7-DOCS,REVIEW
P1-REVIEW-128,doc/verification/bin_insert_demo.drawio,docs,unreachable by AST graph but has risk/ref signals: risks=none refs=1,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=1,worker-docs,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B7-DOCS,REVIEW
P1-REVIEW-129,doc/verification/heavy_scaling.md,docs,unreachable by AST graph but has risk/ref signals: risks=none refs=1,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=1,worker-docs,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B7-DOCS,REVIEW
P1-REVIEW-130,doc/verification/jitter_sim.pdf,docs,unreachable by AST graph but has risk/ref signals: risks=none refs=22,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=22,worker-docs,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B7-DOCS,REVIEW
P1-REVIEW-131,doc/verification/mem_plan_prio.pdf,docs,unreachable by AST graph but has risk/ref signals: risks=none refs=1,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=1,worker-docs,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B7-DOCS,REVIEW
P1-REVIEW-132,doc/verification/mem_plan_seq.pdf,docs,unreachable by AST graph but has risk/ref signals: risks=none refs=1,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=1,worker-docs,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B7-DOCS,REVIEW
P1-REVIEW-133,doc/verification/truncnorm.pdf,docs,unreachable by AST graph but has risk/ref signals: risks=none refs=6,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=6,worker-docs,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B7-DOCS,REVIEW
P1-REVIEW-134,error_log.txt,other,non-code/other file; requires human classification,unknown,non-code/other file; requires human classification,worker-root,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B13-ROOT,REVIEW
P1-REVIEW-135,golden_trace.txt,other,unreachable by AST graph but has risk/ref signals: risks=none refs=1,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=1,worker-root,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B13-ROOT,REVIEW
P1-REVIEW-136,mapper/__init__.py,python,unreachable by AST graph but has risk/ref signals: risks=none refs=52,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=52,worker-mapper,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B9-MAPPER,REVIEW
P1-REVIEW-137,model/__init__.py,python,unreachable by AST graph but has risk/ref signals: risks=none refs=82,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=82,worker-model,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B10-MODEL,REVIEW
P1-REVIEW-138,model/streaming_processing/__init__.py,python,unreachable by AST graph but has risk/ref signals: risks=none refs=53,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=53,worker-model,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B10-MODEL,REVIEW
P1-REVIEW-139,optimizer/Figure_1.png,other,non-code/other file; requires human classification,unknown,non-code/other file; requires human classification,worker-optimizer,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B11-OPTIMIZER,REVIEW
P1-REVIEW-144,output.pdf,other,unreachable by AST graph but has risk/ref signals: risks=none refs=62,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=62,worker-root,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B13-ROOT,REVIEW
P1-REVIEW-145,output.txt,other,unreachable by AST graph but has risk/ref signals: risks=none refs=62,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=62,worker-root,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B13-ROOT,REVIEW
P1-REVIEW-146,package-lock.json,shared-config,shared/protected config; leader-owned,protected-shared-file,shared/protected config; leader-owned,team-leader,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B0-SHARED,REVIEW
P1-REVIEW-147,package.json,shared-config,shared/protected config; leader-owned,protected-shared-file,shared/protected config; leader-owned,team-leader,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B0-SHARED,REVIEW
P1-REVIEW-148,path_migration_guide.md,docs,unreachable by AST graph but has risk/ref signals: risks=none refs=2,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=2,worker-docs,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B7-DOCS,REVIEW
P1-REVIEW-151,profiling/profiling_medium.csv,other,unreachable by AST graph but has risk/ref signals: risks=none refs=2,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=2,worker-profiling,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B12-PROFILING,REVIEW
P1-REVIEW-152,requirement.txt,other,unreachable by AST graph but has risk/ref signals: risks=none refs=12,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=12,worker-root,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B13-ROOT,REVIEW
P1-REVIEW-153,run/1/scan_aux.sh,script,unreachable by AST graph but has risk/ref signals: risks=none refs=1,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=1,worker-run,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B14-RUN,REVIEW
P1-REVIEW-154,run/1/sweep_seed.sh,script,unreachable by AST graph but has risk/ref signals: risks=none refs=1,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=1,worker-run,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B14-RUN,REVIEW
P1-REVIEW-155,run/2/aba_scalability_scan.sh,script,unreachable by AST graph but has risk/ref signals: risks=none refs=2,text-reference,unreachable by AST graph but has risk/ref signals: risks=none refs=2,worker-run,"Keep, exclude from clean, move to reference, or untrack locally?",keep as REVIEW,B14-RUN,REVIEW
