decision_id,path,kind,proposed_action,recommended_strategy,reason,risk,evidence,owner,archive_ref,recovery_command,requires_user_approval,batch_id,status
P1-REMOVE-011,claude_talk/compared_allocator.md,docs,exclude from clean main,archive-only,user marked this area important; do not delete,user-reclassified,not reachable from entrypoints and no text/risk references found by conservative scan,worker-docs,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:claude_talk/compared_allocator.md,yes,B7-DOCS,NOT_APPROVED_BY_USER
P1-REMOVE-012,debug_sink_constraint.py,python,exclude from clean main,archive-only,user rejected low-risk cleanup classification; keep or review before any future action,user-reclassified,not reachable from entrypoints and no text/risk references found by conservative scan,worker-root,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:debug_sink_constraint.py,yes,B13-ROOT,NOT_APPROVED_BY_USER
P1-REMOVE-013,doc/analytical_report/MOTIV_EXP_SUMMARY.md,docs,exclude from clean main,archive-only,user rejected low-risk cleanup classification; keep or review before any future action,user-reclassified,not reachable from entrypoints and no text/risk references found by conservative scan,worker-docs,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:doc/analytical_report/MOTIV_EXP_SUMMARY.md,yes,B7-DOCS,NOT_APPROVED_BY_USER
P1-REMOVE-014,doc/analytical_report/PARAMETER_MAPPING_SUMMARY.md,docs,exclude from clean main,archive-only,user rejected low-risk cleanup classification; keep or review before any future action,user-reclassified,not reachable from entrypoints and no text/risk references found by conservative scan,worker-docs,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:doc/analytical_report/PARAMETER_MAPPING_SUMMARY.md,yes,B7-DOCS,NOT_APPROVED_BY_USER
P1-REMOVE-015,doc/dev/change_log_2023.md,docs,exclude from clean main,archive-only,user marked this area important; do not delete,user-reclassified,not reachable from entrypoints and no text/risk references found by conservative scan,worker-docs,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:doc/dev/change_log_2023.md,yes,B7-DOCS,NOT_APPROVED_BY_USER
P1-REMOVE-016,doc/dev/change_log_2024.md,docs,exclude from clean main,archive-only,user marked this area important; do not delete,user-reclassified,not reachable from entrypoints and no text/risk references found by conservative scan,worker-docs,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:doc/dev/change_log_2024.md,yes,B7-DOCS,NOT_APPROVED_BY_USER
P1-REMOVE-017,doc/dev/change_log_2026.md,docs,exclude from clean main,archive-only,user marked this area important; do not delete,user-reclassified,not reachable from entrypoints and no text/risk references found by conservative scan,worker-docs,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:doc/dev/change_log_2026.md,yes,B7-DOCS,NOT_APPROVED_BY_USER
P1-REMOVE-018,doc/dev/fig_plotting_context.md,docs,exclude from clean main,archive-only,user marked this area important; do not delete,user-reclassified,not reachable from entrypoints and no text/risk references found by conservative scan,worker-docs,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:doc/dev/fig_plotting_context.md,yes,B7-DOCS,NOT_APPROVED_BY_USER
P1-REMOVE-019,doc/dev/plans/2026-03-20-repack-fix-core.md,docs,exclude from clean main,archive-only,user marked this area important; do not delete,user-reclassified,not reachable from entrypoints and no text/risk references found by conservative scan,worker-docs,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:doc/dev/plans/2026-03-20-repack-fix-core.md,yes,B7-DOCS,NOT_APPROVED_BY_USER
P1-REMOVE-020,doc/dev/repack_debug_instrumentation.md,docs,exclude from clean main,archive-only,user marked this area important; do not delete,user-reclassified,not reachable from entrypoints and no text/risk references found by conservative scan,worker-docs,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:doc/dev/repack_debug_instrumentation.md,yes,B7-DOCS,NOT_APPROVED_BY_USER
P1-REMOVE-021,doc/spec/algorithm/paper/cursor_algo_paper.md,docs,exclude from clean main,archive-only,user marked this area important; do not delete,user-reclassified,not reachable from entrypoints and no text/risk references found by conservative scan,worker-docs,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:doc/spec/algorithm/paper/cursor_algo_paper.md,yes,B7-DOCS,NOT_APPROVED_BY_USER
P1-REMOVE-022,doc/temp/data_structure.md,docs,exclude from clean main,archive-only,user rejected low-risk cleanup classification; keep or review before any future action,user-reclassified,not reachable from entrypoints and no text/risk references found by conservative scan,worker-docs,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:doc/temp/data_structure.md,yes,B7-DOCS,NOT_APPROVED_BY_USER
P1-REMOVE-023,doc/verification/0.3_truncexpon.pdf,docs,exclude from clean main,archive-only,user rejected low-risk cleanup classification; keep or review before any future action,user-reclassified,not reachable from entrypoints and no text/risk references found by conservative scan,worker-docs,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:doc/verification/0.3_truncexpon.pdf,yes,B7-DOCS,NOT_APPROVED_BY_USER
P1-REMOVE-024,doc/verification/0.5_truncexpon.pdf,docs,exclude from clean main,archive-only,user rejected low-risk cleanup classification; keep or review before any future action,user-reclassified,not reachable from entrypoints and no text/risk references found by conservative scan,worker-docs,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:doc/verification/0.5_truncexpon.pdf,yes,B7-DOCS,NOT_APPROVED_BY_USER
P1-REMOVE-025,doc/verification/medium_scaling_log.md,docs,exclude from clean main,archive-only,user rejected low-risk cleanup classification; keep or review before any future action,user-reclassified,not reachable from entrypoints and no text/risk references found by conservative scan,worker-docs,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:doc/verification/medium_scaling_log.md,yes,B7-DOCS,NOT_APPROVED_BY_USER
P1-REMOVE-026,doc/verification/truncpareto.pdf,docs,exclude from clean main,archive-only,user rejected low-risk cleanup classification; keep or review before any future action,user-reclassified,not reachable from entrypoints and no text/risk references found by conservative scan,worker-docs,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:doc/verification/truncpareto.pdf,yes,B7-DOCS,NOT_APPROVED_BY_USER
P1-REMOVE-027,doc/verification/truncweibull_min.pdf,docs,exclude from clean main,archive-only,user rejected low-risk cleanup classification; keep or review before any future action,user-reclassified,not reachable from entrypoints and no text/risk references found by conservative scan,worker-docs,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:doc/verification/truncweibull_min.pdf,yes,B7-DOCS,NOT_APPROVED_BY_USER
P1-REMOVE-028,example/bm1.py,python,exclude from clean main,archive-only,user rejected low-risk cleanup classification; keep or review before any future action,user-reclassified,not reachable from entrypoints and no text/risk references found by conservative scan,worker-example,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:example/bm1.py,yes,B8-EXAMPLE,NOT_APPROVED_BY_USER
P1-REMOVE-029,example/bm2.py,python,exclude from clean main,archive-only,user rejected low-risk cleanup classification; keep or review before any future action,user-reclassified,not reachable from entrypoints and no text/risk references found by conservative scan,worker-example,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:example/bm2.py,yes,B8-EXAMPLE,NOT_APPROVED_BY_USER
P1-REMOVE-030,example/bm3.py,python,exclude from clean main,archive-only,user rejected low-risk cleanup classification; keep or review before any future action,user-reclassified,not reachable from entrypoints and no text/risk references found by conservative scan,worker-example,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:example/bm3.py,yes,B8-EXAMPLE,NOT_APPROVED_BY_USER
P1-REMOVE-032,optimizer/ops_test.py,python,exclude from clean main,archive-only,user rejected low-risk cleanup classification; keep or review before any future action,user-reclassified,not reachable from entrypoints and no text/risk references found by conservative scan,worker-optimizer,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:optimizer/ops_test.py,yes,B11-OPTIMIZER,NOT_APPROVED_BY_USER
P1-REMOVE-033,path_replacement_summary.md,docs,exclude from clean main,archive-only,user rejected low-risk cleanup classification; keep or review before any future action,user-reclassified,not reachable from entrypoints and no text/risk references found by conservative scan,worker-docs,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:path_replacement_summary.md,yes,B7-DOCS,NOT_APPROVED_BY_USER
P1-REMOVE-034,run/1/all.sh,script,exclude from clean main,archive-only,user rejected low-risk cleanup classification; keep or review before any future action,user-reclassified,not reachable from entrypoints and no text/risk references found by conservative scan,worker-run,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:run/1/all.sh,yes,B14-RUN,NOT_APPROVED_BY_USER
P1-REMOVE-035,run/1/scan_core.sh,script,exclude from clean main,archive-only,user rejected low-risk cleanup classification; keep or review before any future action,user-reclassified,not reachable from entrypoints and no text/risk references found by conservative scan,worker-run,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:run/1/scan_core.sh,yes,B14-RUN,NOT_APPROVED_BY_USER
P1-REMOVE-036,run/2/all2.sh,script,exclude from clean main,archive-only,user rejected low-risk cleanup classification; keep or review before any future action,user-reclassified,not reachable from entrypoints and no text/risk references found by conservative scan,worker-run,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:run/2/all2.sh,yes,B14-RUN,NOT_APPROVED_BY_USER
P1-REMOVE-037,run/4/sum.md,docs,exclude from clean main,archive-only,user rejected low-risk cleanup classification; keep or review before any future action,user-reclassified,not reachable from entrypoints and no text/risk references found by conservative scan,worker-docs,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:run/4/sum.md,yes,B7-DOCS,NOT_APPROVED_BY_USER
P1-REMOVE-038,run/aba_scalability_scan copy.sh,script,exclude from clean main,archive-only,user rejected low-risk cleanup classification; keep or review before any future action,user-reclassified,not reachable from entrypoints and no text/risk references found by conservative scan,worker-run,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:run/aba_scalability_scan copy.sh,yes,B14-RUN,NOT_APPROVED_BY_USER
P1-REMOVE-039,run/abla_chain_sharing.sh,script,exclude from clean main,archive-only,user rejected low-risk cleanup classification; keep or review before any future action,user-reclassified,not reachable from entrypoints and no text/risk references found by conservative scan,worker-run,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:run/abla_chain_sharing.sh,yes,B14-RUN,NOT_APPROVED_BY_USER
P1-REMOVE-040,run/temp.sh,script,exclude from clean main,archive-only,user rejected low-risk cleanup classification; keep or review before any future action,user-reclassified,not reachable from entrypoints and no text/risk references found by conservative scan,worker-run,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:run/temp.sh,yes,B14-RUN,NOT_APPROVED_BY_USER
P1-REMOVE-041,sched/packing_solver/fit.py,python,exclude from clean main,archive-only,user rejected low-risk cleanup classification; keep or review before any future action,user-reclassified,not reachable from entrypoints and no text/risk references found by conservative scan,worker-sched,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:sched/packing_solver/fit.py,yes,B15-SCHED,NOT_APPROVED_BY_USER
P1-REMOVE-043,scripts/test_alloc_lat.py,test,exclude from clean main,archive-only,user says this is a converged unit test; keep,user-reclassified,not reachable from entrypoints and no text/risk references found by conservative scan,worker-tests,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:scripts/test_alloc_lat.py,yes,B19-TESTS,NOT_APPROVED_BY_USER
P1-REMOVE-044,test_closure_fix.py,test,exclude from clean main,archive-only,user says this is a converged unit test; keep,user-reclassified,not reachable from entrypoints and no text/risk references found by conservative scan,worker-tests,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:test_closure_fix.py,yes,B19-TESTS,NOT_APPROVED_BY_USER
P1-REMOVE-045,test_duplicate.py,test,exclude from clean main,archive-only,user says this is a converged unit test; keep,user-reclassified,not reachable from entrypoints and no text/risk references found by conservative scan,worker-tests,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:test_duplicate.py,yes,B19-TESTS,NOT_APPROVED_BY_USER
P1-REMOVE-046,test_event_update.py,test,exclude from clean main,archive-only,user says this is a converged unit test; keep,user-reclassified,not reachable from entrypoints and no text/risk references found by conservative scan,worker-tests,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:test_event_update.py,yes,B19-TESTS,NOT_APPROVED_BY_USER
P1-REMOVE-047,test_mapping.py,test,exclude from clean main,archive-only,user says this is a converged unit test; keep,user-reclassified,not reachable from entrypoints and no text/risk references found by conservative scan,worker-tests,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:test_mapping.py,yes,B19-TESTS,NOT_APPROVED_BY_USER
P1-REMOVE-048,test_updated_stats.py,test,exclude from clean main,archive-only,user says this is a converged unit test; keep,user-reclassified,not reachable from entrypoints and no text/risk references found by conservative scan,worker-tests,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:test_updated_stats.py,yes,B19-TESTS,NOT_APPROVED_BY_USER
