path,status,kind,owner,reachable_from,evidence,risk_level,archive_ref,recovery_command,notes
analyze/analyze_tp.py,REVIEW,python,worker-analyze,,unreachable by AST graph but has risk/ref signals: risks=none refs=2,text-reference,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:analyze/analyze_tp.py,batch=B3-ANALYZE
analyze/pattern.py,REVIEW,python,worker-analyze,,unreachable by AST graph but has risk/ref signals: risks=none refs=20,text-reference,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:analyze/pattern.py,batch=B3-ANALYZE
analyze/stat_num_exec.py,REVIEW,python,worker-analyze,,unreachable by AST graph but has risk/ref signals: risks=none refs=6,text-reference,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:analyze/stat_num_exec.py,batch=B3-ANALYZE
analyze/xlsl_e2e_lat_abla.py,REVIEW,python,worker-analyze,,user decision: low-risk cleanup classification rejected; require targeted evidence before removal,user-reclassified-review,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:analyze/xlsl_e2e_lat_abla.py,batch=B3-ANALYZE; user_decision=low_risk_cleanup_not_approved
analyze/xlsl_e2e_latency.py,REVIEW,python,worker-analyze,,unreachable by AST graph but has risk/ref signals: risks=none refs=1,text-reference,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:analyze/xlsl_e2e_latency.py,batch=B3-ANALYZE
analyze/xlsl_max_tp.py,REVIEW,python,worker-analyze,,unreachable by AST graph but has risk/ref signals: risks=none refs=1,text-reference,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:analyze/xlsl_max_tp.py,batch=B3-ANALYZE
analyze/xlsl_min_core.py,REVIEW,python,worker-analyze,,unreachable by AST graph but has risk/ref signals: risks=none refs=1,text-reference,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:analyze/xlsl_min_core.py,batch=B3-ANALYZE
analyze/xlsl_safe_scalable.py,REVIEW,python,worker-analyze,,unreachable by AST graph but has risk/ref signals: risks=none refs=1,text-reference,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:analyze/xlsl_safe_scalable.py,batch=B3-ANALYZE
appoach_plot6.py,REVIEW,python,worker-root,,unreachable by AST graph but has risk/ref signals: risks=shell-call refs=0,shell-call,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:appoach_plot6.py,batch=B13-ROOT
approach_Eq.py,KEEP,python,worker-root,,reachable from declared entrypoints,,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:approach_Eq.py,batch=B13-ROOT
approach_collector.py,KEEP,python,worker-root,,reachable from declared entrypoints,generated-code;reflection;shell-call,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:approach_collector.py,batch=B13-ROOT
approach_def.py,KEEP,python,worker-root,,reachable from declared entrypoints,reflection;shell-call,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:approach_def.py,batch=B13-ROOT
approach_initiator.py,KEEP,python,worker-root,,reachable from declared entrypoints,reflection,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:approach_initiator.py,batch=B13-ROOT
approach_sched.py,KEEP,python,worker-root,,reachable from declared entrypoints,,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:approach_sched.py,batch=B13-ROOT
approach_setup.py,KEEP,python,worker-root,,reachable from declared entrypoints,,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:approach_setup.py,batch=B13-ROOT
approach_sim.py,KEEP,python,worker-root,,reachable from declared entrypoints,reflection;shell-call,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:approach_sim.py,batch=B13-ROOT
approach_util33.py,REVIEW,python,worker-root,,"unreachable by AST graph but has risk/ref signals: risks=generated-code,shell-call refs=1",generated-code;shell-call,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:approach_util33.py,batch=B13-ROOT
cfgs/Bp_guided.json,KEEP,config,worker-cfgs,,runtime default --bin_pack_cfg from utils.input_parser,promoted-by-runtime-contract,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:cfgs/Bp_guided.json,batch=B4-CFGS; manual_phase1_adjustment=force_keep
cfgs/Bp_scratch.json,KEEP,config,worker-cfgs,,"documented alternate bin-packing mode, keep until policy support is removed explicitly",promoted-by-runtime-contract,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:cfgs/Bp_scratch.json,batch=B4-CFGS; manual_phase1_adjustment=force_keep
cfgs/var_sim_cfg.json,KEEP,config,worker-cfgs,,runtime default --var_sim_cfg loaded unconditionally by utils.input_parser,promoted-by-runtime-contract,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:cfgs/var_sim_cfg.json,batch=B4-CFGS; manual_phase1_adjustment=force_keep
claude_talk/ala_coding.md,KEEP,docs,worker-docs,,user marked claude_talk conversation history important; do not delete,user-protected-history,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:claude_talk/ala_coding.md,batch=B7-DOCS; user_decision=low_risk_cleanup_not_approved
claude_talk/auto-abla.md,KEEP,docs,worker-docs,,user marked claude_talk conversation history important; do not delete,user-protected-history,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:claude_talk/auto-abla.md,batch=B7-DOCS
claude_talk/auto-repack.md,KEEP,docs,worker-docs,,user marked claude_talk conversation history important; do not delete,user-protected-history,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:claude_talk/auto-repack.md,batch=B7-DOCS; user_decision=low_risk_cleanup_not_approved
claude_talk/baseline_allocator.md,KEEP,docs,worker-docs,,user marked claude_talk conversation history important; do not delete,user-protected-history,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:claude_talk/baseline_allocator.md,batch=B7-DOCS; user_decision=low_risk_cleanup_not_approved
claude_talk/compared_allocator.md,KEEP,docs,worker-docs,,user marked claude_talk conversation history important; do not delete,user-protected-history,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:claude_talk/compared_allocator.md,batch=B7-DOCS; user_decision=low_risk_cleanup_not_approved
claude_talk/explore.md,KEEP,docs,worker-docs,,user marked claude_talk conversation history important; do not delete,user-protected-history,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:claude_talk/explore.md,batch=B7-DOCS
csv/coalescing_scan/n_bins_1/coalescing_req_cores.csv,REVIEW,other,worker-csv,,unreachable by AST graph but has risk/ref signals: risks=none refs=1,text-reference,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:csv/coalescing_scan/n_bins_1/coalescing_req_cores.csv,batch=B5-CSV
debug_case1/case1/case1_motiv1_style.pdf,REVIEW,other,worker-debug-case1,,unreachable by AST graph but has risk/ref signals: risks=none refs=6,text-reference,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:debug_case1/case1/case1_motiv1_style.pdf,batch=B6-DEBUG-CASE1
debug_case1/case1/case1_satisfy_projection.pdf,REVIEW,other,worker-debug-case1,,unreachable by AST graph but has risk/ref signals: risks=none refs=4,text-reference,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:debug_case1/case1/case1_satisfy_projection.pdf,batch=B6-DEBUG-CASE1
debug_case1/case1/case1_summary.json,REVIEW,config,worker-debug-case1,,unreachable by AST graph but has risk/ref signals: risks=none refs=10,text-reference,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:debug_case1/case1/case1_summary.json,batch=B6-DEBUG-CASE1
debug_sink_constraint.py,REVIEW,python,worker-root,,user decision: low-risk cleanup classification rejected; require targeted evidence before removal,user-reclassified-review,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:debug_sink_constraint.py,batch=B13-ROOT; user_decision=low_risk_cleanup_not_approved
doc/ABLA_EXP_FIX_PLAN.md,REVIEW,docs,worker-docs,,unreachable by AST graph but has risk/ref signals: risks=none refs=1,text-reference,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:doc/ABLA_EXP_FIX_PLAN.md,batch=B7-DOCS
doc/analytical_report/MOTIV_EXP_SUMMARY.md,REVIEW,docs,worker-docs,,user decision: low-risk cleanup classification rejected; require targeted evidence before removal,user-reclassified-review,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:doc/analytical_report/MOTIV_EXP_SUMMARY.md,batch=B7-DOCS; user_decision=low_risk_cleanup_not_approved
doc/analytical_report/PARAMETER_MAPPING_SUMMARY.md,REVIEW,docs,worker-docs,,user decision: low-risk cleanup classification rejected; require targeted evidence before removal,user-reclassified-review,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:doc/analytical_report/PARAMETER_MAPPING_SUMMARY.md,batch=B7-DOCS; user_decision=low_risk_cleanup_not_approved
doc/analytical_report/motiv_exp_implementation_check.md,REVIEW,docs,worker-docs,,unreachable by AST graph but has risk/ref signals: risks=none refs=1,text-reference,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:doc/analytical_report/motiv_exp_implementation_check.md,batch=B7-DOCS
doc/analytical_report/parameter_flow_exec_t_comp_ratio.md,REVIEW,docs,worker-docs,,unreachable by AST graph but has risk/ref signals: risks=none refs=3,text-reference,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:doc/analytical_report/parameter_flow_exec_t_comp_ratio.md,batch=B7-DOCS
doc/analytical_report/parameter_mapping_correction.md,REVIEW,docs,worker-docs,,unreachable by AST graph but has risk/ref signals: risks=none refs=1,text-reference,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:doc/analytical_report/parameter_mapping_correction.md,batch=B7-DOCS
doc/analytical_report/resource_constraint_dump_coupling.md,REVIEW,docs,worker-docs,,unreachable by AST graph but has risk/ref signals: risks=none refs=1,text-reference,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:doc/analytical_report/resource_constraint_dump_coupling.md,batch=B7-DOCS
doc/assumptions.md,REVIEW,docs,worker-docs,,unreachable by AST graph but has risk/ref signals: risks=none refs=1,text-reference,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:doc/assumptions.md,batch=B7-DOCS
doc/dev/ablation_dev.md,KEEP,docs,worker-docs,,"user marked doc/spec, doc/guide, and doc/dev important; may need update after code changes",user-protected-doc,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:doc/dev/ablation_dev.md,batch=B7-DOCS
doc/dev/change_log_2023.md,KEEP,docs,worker-docs,,"user marked doc/spec, doc/guide, and doc/dev important; may need update after code changes",user-protected-doc,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:doc/dev/change_log_2023.md,batch=B7-DOCS; user_decision=low_risk_cleanup_not_approved
doc/dev/change_log_2024.md,KEEP,docs,worker-docs,,"user marked doc/spec, doc/guide, and doc/dev important; may need update after code changes",user-protected-doc,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:doc/dev/change_log_2024.md,batch=B7-DOCS; user_decision=low_risk_cleanup_not_approved
doc/dev/change_log_2025.md,KEEP,docs,worker-docs,,"user marked doc/spec, doc/guide, and doc/dev important; may need update after code changes",user-protected-doc,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:doc/dev/change_log_2025.md,batch=B7-DOCS
doc/dev/change_log_2026.md,KEEP,docs,worker-docs,,"user marked doc/spec, doc/guide, and doc/dev important; may need update after code changes",user-protected-doc,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:doc/dev/change_log_2026.md,batch=B7-DOCS; user_decision=low_risk_cleanup_not_approved
doc/dev/claude_revise.md,KEEP,docs,worker-docs,,"user marked doc/spec, doc/guide, and doc/dev important; may need update after code changes",user-protected-doc,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:doc/dev/claude_revise.md,batch=B7-DOCS
doc/dev/code_cleanup_2026.md,KEEP,docs,worker-docs,,"user marked doc/spec, doc/guide, and doc/dev important; may need update after code changes",user-protected-doc,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:doc/dev/code_cleanup_2026.md,batch=B7-DOCS
doc/dev/fig_plotting_context.md,KEEP,docs,worker-docs,,"user marked doc/spec, doc/guide, and doc/dev important; may need update after code changes",user-protected-doc,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:doc/dev/fig_plotting_context.md,batch=B7-DOCS; user_decision=low_risk_cleanup_not_approved
doc/dev/plans/2026-03-20-repack-fix-core.md,KEEP,docs,worker-docs,,"user marked doc/spec, doc/guide, and doc/dev important; may need update after code changes",user-protected-doc,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:doc/dev/plans/2026-03-20-repack-fix-core.md,batch=B7-DOCS; user_decision=low_risk_cleanup_not_approved
doc/dev/repack_debug_instrumentation.md,KEEP,docs,worker-docs,,"user marked doc/spec, doc/guide, and doc/dev important; may need update after code changes",user-protected-doc,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:doc/dev/repack_debug_instrumentation.md,batch=B7-DOCS; user_decision=low_risk_cleanup_not_approved
doc/guide/README.md,KEEP,shared-config,team-leader,,"user marked doc/spec, doc/guide, and doc/dev important; may need update after code changes",user-protected-doc,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:doc/guide/README.md,batch=B0-SHARED
doc/guide/architecture_overview.md,KEEP,docs,worker-docs,,"user marked doc/spec, doc/guide, and doc/dev important; may need update after code changes",user-protected-doc,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:doc/guide/architecture_overview.md,batch=B7-DOCS
doc/guide/collector_overview.md,KEEP,docs,worker-docs,,"user marked doc/spec, doc/guide, and doc/dev important; may need update after code changes",user-protected-doc,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:doc/guide/collector_overview.md,batch=B7-DOCS
doc/guide/deprecated_code.md,KEEP,docs,worker-docs,,"user marked doc/spec, doc/guide, and doc/dev important; may need update after code changes",user-protected-doc,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:doc/guide/deprecated_code.md,batch=B7-DOCS
doc/guide/exp_scripts_overview.md,KEEP,docs,worker-docs,,"user marked doc/spec, doc/guide, and doc/dev important; may need update after code changes",user-protected-doc,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:doc/guide/exp_scripts_overview.md,batch=B7-DOCS
doc/guide/sched_core_overview.md,KEEP,docs,worker-docs,,"user marked doc/spec, doc/guide, and doc/dev important; may need update after code changes",user-protected-doc,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:doc/guide/sched_core_overview.md,batch=B7-DOCS
doc/guide/simulation_flow_overview.md,KEEP,docs,worker-docs,,"user marked doc/spec, doc/guide, and doc/dev important; may need update after code changes",user-protected-doc,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:doc/guide/simulation_flow_overview.md,batch=B7-DOCS
doc/guide/task_model_overview.md,KEEP,docs,worker-docs,,"user marked doc/spec, doc/guide, and doc/dev important; may need update after code changes",user-protected-doc,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:doc/guide/task_model_overview.md,batch=B7-DOCS
doc/imgs/L-shape-space.png,REVIEW,docs,worker-docs,,unreachable by AST graph but has risk/ref signals: risks=none refs=1,text-reference,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:doc/imgs/L-shape-space.png,batch=B7-DOCS
doc/imgs/multi-copies_run.png,REVIEW,docs,worker-docs,,unreachable by AST graph but has risk/ref signals: risks=none refs=1,text-reference,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:doc/imgs/multi-copies_run.png,batch=B7-DOCS
doc/imgs/trigger_issue.png,REVIEW,docs,worker-docs,,unreachable by AST graph but has risk/ref signals: risks=none refs=1,text-reference,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:doc/imgs/trigger_issue.png,batch=B7-DOCS
doc/setting.md,REVIEW,docs,worker-docs,,unreachable by AST graph but has risk/ref signals: risks=none refs=13,text-reference,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:doc/setting.md,batch=B7-DOCS
doc/sim_flow.md,REVIEW,docs,worker-docs,,unreachable by AST graph but has risk/ref signals: risks=none refs=13,text-reference,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:doc/sim_flow.md,batch=B7-DOCS
doc/sparse_list.md,REVIEW,docs,worker-docs,,unreachable by AST graph but has risk/ref signals: risks=none refs=11,text-reference,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:doc/sparse_list.md,batch=B7-DOCS
doc/spec/abla1_describe.md,KEEP,docs,worker-docs,,"user marked doc/spec, doc/guide, and doc/dev important; may need update after code changes",user-protected-doc,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:doc/spec/abla1_describe.md,batch=B7-DOCS
doc/spec/abla2-3_describe.md,KEEP,docs,worker-docs,,"user marked doc/spec, doc/guide, and doc/dev important; may need update after code changes",user-protected-doc,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:doc/spec/abla2-3_describe.md,batch=B7-DOCS
doc/spec/algorithm/binpack_solver_spec.md,KEEP,docs,worker-docs,,"user marked doc/spec, doc/guide, and doc/dev important; may need update after code changes",user-protected-doc,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:doc/spec/algorithm/binpack_solver_spec.md,batch=B7-DOCS
doc/spec/algorithm/chain_slack_assignment_algorithm.md,KEEP,docs,worker-docs,,"user marked doc/spec, doc/guide, and doc/dev important; may need update after code changes",user-protected-doc,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:doc/spec/algorithm/chain_slack_assignment_algorithm.md,batch=B7-DOCS
doc/spec/algorithm/guided_hybrid_allocation_algorithm.md,KEEP,docs,worker-docs,,"user marked doc/spec, doc/guide, and doc/dev important; may need update after code changes",user-protected-doc,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:doc/spec/algorithm/guided_hybrid_allocation_algorithm.md,batch=B7-DOCS
doc/spec/algorithm/paper/cursor_algo_paper.md,KEEP,docs,worker-docs,,"user marked doc/spec, doc/guide, and doc/dev important; may need update after code changes",user-protected-doc,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:doc/spec/algorithm/paper/cursor_algo_paper.md,batch=B7-DOCS; user_decision=low_risk_cleanup_not_approved
doc/spec/cfg/binpack_config_design.md,KEEP,docs,worker-docs,,"user marked doc/spec, doc/guide, and doc/dev important; may need update after code changes",user-protected-doc,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:doc/spec/cfg/binpack_config_design.md,batch=B7-DOCS
doc/spec/e2e_sched_sim_flow.md,KEEP,docs,worker-docs,,"user marked doc/spec, doc/guide, and doc/dev important; may need update after code changes",user-protected-doc,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:doc/spec/e2e_sched_sim_flow.md,batch=B7-DOCS
doc/spec/exp_design/motiv_case_api_README.md,KEEP,docs,worker-docs,,"user marked doc/spec, doc/guide, and doc/dev important; may need update after code changes",user-protected-doc,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:doc/spec/exp_design/motiv_case_api_README.md,batch=B7-DOCS
doc/spec/exp_design/motiv_case_api_usage.md,KEEP,docs,worker-docs,,"user marked doc/spec, doc/guide, and doc/dev important; may need update after code changes",user-protected-doc,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:doc/spec/exp_design/motiv_case_api_usage.md,batch=B7-DOCS
doc/spec/exp_design/motiv_case_plotting_examples.md,KEEP,docs,worker-docs,,"user marked doc/spec, doc/guide, and doc/dev important; may need update after code changes",user-protected-doc,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:doc/spec/exp_design/motiv_case_plotting_examples.md,batch=B7-DOCS
doc/spec/key_COT.md,KEEP,docs,worker-docs,,"user marked doc/spec, doc/guide, and doc/dev important; may need update after code changes",user-protected-doc,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:doc/spec/key_COT.md,batch=B7-DOCS
doc/spec/model/latency_model.md,KEEP,docs,worker-docs,,"user marked doc/spec, doc/guide, and doc/dev important; may need update after code changes",user-protected-doc,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:doc/spec/model/latency_model.md,batch=B7-DOCS
doc/spec/motiv1_describe.md,KEEP,docs,worker-docs,,"user marked doc/spec, doc/guide, and doc/dev important; may need update after code changes",user-protected-doc,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:doc/spec/motiv1_describe.md,batch=B7-DOCS
doc/spec/motiv2_describe.md,KEEP,docs,worker-docs,,"user marked doc/spec, doc/guide, and doc/dev important; may need update after code changes",user-protected-doc,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:doc/spec/motiv2_describe.md,batch=B7-DOCS
doc/spec/readme.md,KEEP,docs,worker-docs,,"user marked doc/spec, doc/guide, and doc/dev important; may need update after code changes",user-protected-doc,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:doc/spec/readme.md,batch=B7-DOCS
doc/spec/sim/approach_sim_spec.md,KEEP,docs,worker-docs,,"user marked doc/spec, doc/guide, and doc/dev important; may need update after code changes",user-protected-doc,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:doc/spec/sim/approach_sim_spec.md,batch=B7-DOCS
doc/spec/sim/simulation_numerical_design.md,KEEP,docs,worker-docs,,"user marked doc/spec, doc/guide, and doc/dev important; may need update after code changes",user-protected-doc,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:doc/spec/sim/simulation_numerical_design.md,batch=B7-DOCS
doc/spec/stat/collector.md,KEEP,docs,worker-docs,,"user marked doc/spec, doc/guide, and doc/dev important; may need update after code changes",user-protected-doc,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:doc/spec/stat/collector.md,batch=B7-DOCS
doc/spec/stat/runtime_overhead_spec.md,KEEP,docs,worker-docs,,"user marked doc/spec, doc/guide, and doc/dev important; may need update after code changes",user-protected-doc,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:doc/spec/stat/runtime_overhead_spec.md,batch=B7-DOCS
doc/spec/stat/statistics_collection_spec.md,KEEP,docs,worker-docs,,"user marked doc/spec, doc/guide, and doc/dev important; may need update after code changes",user-protected-doc,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:doc/spec/stat/statistics_collection_spec.md,batch=B7-DOCS
doc/spec/stat/tdigest_system_spec.md,KEEP,docs,worker-docs,,"user marked doc/spec, doc/guide, and doc/dev important; may need update after code changes",user-protected-doc,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:doc/spec/stat/tdigest_system_spec.md,batch=B7-DOCS
doc/spec/test_plan.md,KEEP,test,worker-docs,,"user marked doc/spec, doc/guide, and doc/dev important; may need update after code changes",user-protected-doc,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:doc/spec/test_plan.md,batch=B7-DOCS
doc/temp/data_structure.md,REVIEW,docs,worker-docs,,user decision: low-risk cleanup classification rejected; require targeted evidence before removal,user-reclassified-review,archive/test_pipeline-20260612,git show archive/test_pipeline-20260612:doc/temp/data_structure.md,batch=B7-DOCS; user_decision=low_risk_cleanup_not_approved
